Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
"7,678.00",4.38,"34,350.50",3.65,208.66,"11,770.00","51,500.00",260.26,"30,432.44",1030,152764676
,4.42,,,,"11,820.00","52,231.00",,,1191,154520167
"5,630.00",2.23,"6,968.15",6,51.1,"4,692.10","10,447.00",690,"7,516.12",68,44484035
"5,650.00",2.19,"7,169.05",3,45.69,"4,900.00","10,748.20",880,"7,709.83",71,45548479
"5,680.00",2.21,"7,420.38",2,43.73,"5,030.00","11,125.00",850,"7,982.71",72,46603525
"5,700.00",2.16,"7,352.53",2,49.79,"5,111.92","11,023.29",910,"8,181.67",76,47657561
"5,700.00",2.12,"6,865.83",22,57.89,"4,855.90","10,293.60",350,"8,228.56",80,48718189
"5,900.00",2.23,"7,888.74",5.6,45.93,"5,297.30","11,827.20",147.7,"8,342.41",91,49785282
"5,980.00",1.94,"7,068.27",4,70.17,"5,468.70","10,597.10",197,"7,618.28",106,50861162
"5,999.00",1.79,"6,529.86",17,56.89,"5,462.50","9,789.90",70,"6,683.86",126,51959015
"5,970.00",2.07,"7,579.05",5,27.34,"5,485.20","11,362.90",250,"7,598.67",134,53095408
"5,940.00",2.08,"7,768.82",33.3,26.12,"5,600.20","11,647.40",201.4,"8,326.06",514,54281846
"5,910.00",2.2,"8,280.94",9,37.12,"5,651.90","12,415.20",12,"8,774.32",251,55522803
"5,880.00",2.52,"9,598.26",17,46.71,"5,711.70","14,390.20",197,"9,480.56",326,56814306
"5,850.00",2.63,"9,833.78",89,63.95,"5,611.70","14,743.30",42,"9,983.86",482,58148384
"5,820.00",2.73,"10,342.24",83,64.42,"5,675.00","15,505.60",322,"10,576.67",823,59512619
"5,616.00",2.78,"10,588.49",59.4,83.55,"5,718.30","15,874.80",336.1,"10,742.20",251,60896721
"5,570.00",2.81,"10,673.93",132,94.08,"5,703.10","16,002.90",482.5,"11,213.91",556,62293856
"5,527.00",2.7,"10,073.43",120.4,76.3,"5,603.10","15,102.60",322.5,"10,664.02",675,63701972
"5,460.00",2.96,"11,339.00",91.2,105.52,"5,740.80","17,000.00",199.5,"10,954.79",366,65120439
"5,400.00",3.21,"12,670.53","1,420.00",104.26,"5,911.20","18,996.30",55.12,"11,429.84",97,66550234
"5,339.00",3.18,"12,823.14","1,624.00",104.94,"6,042.80","19,225.10",1.9,"11,722.49",98,67988862
"5,368.00",3.11,"13,087.81","1,033.00",145.66,"6,302.70","19,621.90",6.17,"11,884.43",114,69436954
"5,506.00",3.33,"14,400.73","1,945.80",139.19,"6,475.40","21,590.30",1.7,"12,591.88",144,70883481
"5,516.00",3.48,"15,232.01","1,722.00",136.71,"6,559.40","22,836.60",0.75,"13,494.62",189,72300308
"5,464.00",3.57,"15,693.38","1,983.00",216.86,"6,598.60","23,528.30",,"13,748.29",230,73651218
"5,403.00",3.69,"16,650.79","1,988.00",226.49,"6,765.60","24,963.70",11,"14,147.52",289,74910461
"5,554.00",3.77,"17,606.60","3,003.00",267.28,"7,003.80","26,396.70",,"14,501.17",338,76068743
"5,668.00",3.88,"18,358.44","3,574.80",259.65,"7,099.70","27,523.90",,"14,542.28",362,77133214
"5,763.00",3.96,"19,440.05","3,730.00",322.21,"7,362.70","29,145.50",1.3,"15,639.47",361,78115710
"6,000.00",4.1,"20,939.66","4,508.28",342.93,"7,653.60","31,393.80",5.2,"16,348.10",375,79035871
"6,200.00",4.24,"21,697.18","3,476.98",365.65,"7,666.30","32,529.50",,"17,768.10",402,79910412
"6,649.00",4.29,"21,416.30","3,729.46",286.73,"7,492.70","32,108.40",2.6,"17,028.73",413,80742499
"6,600.00",4.59,"22,976.28","3,240.93",304.96,"7,504.30","34,447.20",40,"18,528.65",440,81534407
"6,581.00",4.64,"23,057.39","3,813.00",342.3,"7,452.20","34,568.80",2.25,"18,703.02",489,82301656
"6,469.50",4.86,"24,111.32","4,063.00",403.91,"7,445.30","36,148.90",0.06,"19,237.62",604,83062821
"6,358.00",4.89,"23,900.54","5,250.00",292.26,"7,329.20","35,832.90",0.34,"18,988.88",700,83832661
"6,348.00",4.89,"23,911.62","4,642.00",300.17,"7,324.80","35,849.50",0.57,"18,801.65",797,84617540
"6,309.60",4.99,"23,973.78","4,558.00",353.01,"7,207.40","35,942.70",2.08,"19,055.64",920,85419591
"6,282.50",5.23,"25,832.78","4,735.17",305.7,"7,400.20","38,729.80",0.68,"20,212.93",1154,86243413
"6,300.00",5.24,"25,979.78","5,968.59",403.04,"7,437.20","38,950.20",0.85,"20,222.14",1181,87092252
"6,437.60",5.34,"26,683.74","6,892.96",310.45,"7,489.40","40,005.60",0.98,"20,022.03",1297,87967651
"6,401.30",5.54,"28,279.69","7,112.00",255.46,"7,655.44","42,398.34",2.41,"20,824.19",1532,88871561
"6,422.80",5.64,"29,122.27","8,010.92",296,"7,761.31","43,737.60",27.6,"20,836.06",1751,89802487
"6,409.50",5.57,"29,374.20","3,939.08",373.76,"7,902.81","44,040.46",6.25,"21,391.10",1899,90753472
,5.75,,,,"7,816.48","44,974.21",,,2047,91714595
"9,970.00",1.72,"5,452.72",810.51,4.42,"4,763.80","8,175.00",,"5,018.10",99,27913750
"9,970.00",1.62,"4,906.99",524.29,4.82,"4,528.10","7,356.80",,"5,093.02",89,28570097
"9,485.00",1.76,"5,737.47",145.81,4.37,"4,879.50","8,601.90",,"5,265.48",114,29238168
"9,494.00",1.76,"5,725.13",214.3,4.71,"4,884.10","8,583.40",,"5,286.50",133,29918461
"9,505.00",1.83,"6,141.54",291.61,5.76,"5,029.60","9,207.70",0.01,"5,568.13",120,30611095
"9,518.00",1.9,"6,215.97",623.03,5.38,"4,911.50","9,319.30",,"5,715.44",131,31314341
"9,550.00",1.95,"6,311.15",661.38,6.49,"4,864.00","9,462.00",,"5,944.95",131,32026742
"9,558.00",2.1,"7,022.38",348.25,8.95,"5,010.50","10,528.30",,"6,918.35",143,32748784
"9,567.00",2.35,"6,968.75",590.2,9.73,"4,441.90","10,447.90",,"7,402.62",160,33481396
"9,573.00",2.77,"8,882.71",653.1,10.47,"4,800.90","13,317.40",,"8,244.18",173,34224313
"9,605.00",2.94,"9,435.78",673.9,13.08,"4,808.70","14,146.60",,"8,510.56",170,34976462
"9,620.00",3.15,"9,587.06",701.3,17.51,"4,562.30","14,373.40",,"8,632.83",170,35734272
"9,613.00",3.07,"9,530.16",858.4,16.61,"4,659.20","14,288.10",,"8,409.60",172,36491800
"9,591.00",3.1,"9,508.42",621.8,19.62,"4,601.30","14,255.50",,"8,638.35",173,37241527
"9,593.00",3.07,"9,549.47",581.5,20.23,"4,660.80","14,317.05",,"8,722.08",174,37977086
"9,596.00",3.03,"9,422.78",622.22,18.63,"4,665.70","14,127.10",,"8,552.26",129,38698482
"9,574.00",3.04,"9,096.81",385.94,13.1,"4,482.80","13,638.40",,"9,244.04",125,39404335
"9,552.00",2.91,"8,782.46",47.8,9.14,"4,527.30","13,167.10",,"9,065.35",113,40085651
"9,538.00",2.92,"9,208.94",168.2,8.71,"4,732.40","13,806.50",,"8,501.49",119,40731426
"9,567.00",2.94,"9,319.19",246.64,7.89,"4,760.00","13,971.80",,"9,264.52",126,41335199
"9,554.00",2.89,"8,807.20",183.12,8.69,"4,575.00","13,204.20",,"9,163.87",127,41890197
"9,534.00",2.94,"9,898.55",212.36,7.04,"5,056.20","14,840.40",,"10,012.51",141,42401684
"9,579.00",3.06,"11,181.05",295.81,9.01,"5,486.81","16,763.20",,"10,550.25",151,42890002
"9,534.00",3.17,"12,138.67",958.71,15.18,"5,742.88","18,198.90",,"11,229.53",164,43383428
"9,540.00",2.98,"11,977.25",367.6,18.87,"6,032.70","17,956.90",,"11,164.57",177,43901598
"9,543.00",3.06,"11,792.43",115.55,18.22,"5,768.50","17,679.80",0.46,"11,458.83",189,44452206
"9,559.00",3.08,"11,106.48",28.3,18.6,"5,408.30","16,651.40",1.63,"11,411.75",201,45027233
"9,556.00",3.13,"11,390.82",120.4,17.98,"5,458.50","17,077.69",0.95,"11,597.85",128,45611220
"9,690.00",3.24,"13,424.07",54.32,16.83,"6,210.79","20,126.04",6.66,"12,526.62",155,46181077
"9,909.00",3.38,"14,223.02",251.4,20.76,"6,302.49","21,323.87",10.14,"13,226.48",196,46719701
"9,990.00",3.42,"14,617.97","1,009.61",9.58,"6,412.54","21,916.00",13,"13,896.33",182,47225120
"9,862.00",3.42,"14,543.94",978.37,4.29,"6,381.00","21,805.00",16,"14,080.88",162,47702171
"9,851.00",3.55,"15,438.56",468.14,10.31,"6,527.98","23,146.27",9,"14,433.67",198,48148902
"9,912.00",3.82,"16,634.31",182.23,19.91,"6,532.82","24,939.00",18,"16,089.88",246,48564484
"10,059.00",3.75,"18,464.56",213.01,6.52,"7,384.00","27,683.00",2.1,"17,553.09",274,48949924
"10,336.00",3.83,"20,626.31",306.51,9.02,"8,074.00","30,924.00",10.5,"19,455.35",295,49301050
"10,577.00",3.93,"20,977.82",361.86,15.77,"8,011.00","31,451.00",3.15,"19,819.88",363,49621475
"10,694.00",4.03,"21,726.18",685.66,7.61,"8,077.72","32,572.98",81,"21,456.63",512,49929642
"10,794.00",4.06,"21,798.87",837.87,5.52,"8,058.26","32,681.96",23,"19,602.15",643,50250367
"10,811.00",4.07,"21,730.63",592.81,6.25,"8,011.59","32,579.65",1.59,"19,966.60",800,50600818
"10,786.00",3.83,"19,349.60",867.42,12.01,"7,566.78","29,009.89",3.08,"18,874.13",1080,50990615
